lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd
M5,Mark Rothko,Brown and Blacks in Reds,70000000,100000000,85780000
M6,Franz Kline,Harleman,12000000,18000000,14480000
M7,Jeff Koons,Louis XIV,7000000,10000000,8570000
M8,Mark Rothko,No. 1,15000000,20000000,20805000
M9,Willem de Kooning,Two Women,3000000,4000000,4024000
M10,David Hammons,Untitled,800000,1200000,1088000
M11,John Chamberlain,Untitled,400000,600000,384000
E1,Diego Giacometti,Pair of “Carcasse” Chenets,250000,350000,512000
E2,Wassily Kandinsky,Zwei schwarze Streifen (Two Black Stripes),2000000,3000000,2066000
E3,Mark Rothko,Untitled,5000000,7000000,9270000
E4,Alberto Giacometti,Buste d’homme (dit New York I),2000000,3000000,3292000
E6,Varvara Stepanova,Two Figures,1200000,1800000,2304000
E7,Alberto Giacometti,La Clairière (Composition avec neuf figures),18000000,25000000,23105000
E8,Pablo Picasso,Buste de femme,3000000,5000000,5610000
E9,Paul Klee,Gartenfigur (Garden Figure),2000000,3000000,4634000
E10,Yves Tanguy,Aux Aguets le jour,800000,1200000,1792000
E11,Pablo Picasso,Arlequin (Buste),EUR,EUR,42640000
E12,Wassily Kandinsky,Rote Tiefe (Red Depth),12000000,18000000,14480000
E13,Dorothea Tanning,Témoins du drame,1000000,1500000,2176000
E14,René Magritte,Femme-bouteille,800000,1200000,974000
E15,Sophie Taeuber-Arp,Personnages,200000,300000,409600
E16,Charles Sheeler,Windows,1200000,1800000,2048000
E17,Alexander Calder,La Feuille Jaune,2500000,3500000,3170000
E18,Fernand Léger,Femme dans un jardin,2000000,3000000,2926000
E19,Henri Matisse,La Chaise lorraine,EUR,EUR,48405000
E21,Pierre Bonnard,Nature morte au melon,2500000,3500000,2948000
E22,Henri Matisse,La Séance du matin,20000000,30000000,20000000
E23,Marc Chagall,La Nappe mauve,2500000,3500000,3353000
E24,Pablo Picasso,Tête de femme sur fond jaune,7000000,10000000,7745000
E25,Barbara Hepworth,Group II (People Waiting),2000000,3000000,2250000
E26,Auguste Rodin,"Penseur, Taille de la Porte dit ""Moyen Modèle""",8000000,12000000,Bidding is closed
E27,Georgia O'Keeffe,Inside Clam Shell,6000000,8000000,8904000
E28,Vincent Van Gogh,La Moisson en Provence,25000000,35000000,29430000
E29,Claude Monet,La Falaise d’Amont,5000000,7000000,6037000
E30,Pierre-Auguste Renoir,Baigneuse assise sur un rocher,8000000,12000000,8660000
E31,Henri Matisse,Madeleine II,2500000,3500000,3170000
E32,Edgar Degas,Femme à sa toilette,5000000,7000000,4268000
E33,Georgia O'Keeffe,Pink Camellia,2000000,3000000,2560000
E34,Leonor Fini,Portrait de Alida Valli II,700000,1000000,1152000
E35,Leonora Carrington,El retorno de la osa mayor,1000000,1500000,1662000
E36,Óscar Domínguez,Le Printemps (Composition lithochronique),1000000,1500000,1408000
E37,Pablo Picasso,Le Petit déjeuner,5000000,7000000,5510000
E39,René Magritte,Le Voleur,2800000,3500000,3780000
E40,Alberto Giacometti,Annette d'après nature,5000000,7000000,8050000
E41,Egon Schiele,Frauenbildnis mit Blauem und Grünem Halstuch (Portrait of a Woman with Blue and Green Scarf),1000000,1500000,1920000
E42,Max Beckmann,"Frau nackt, Haare kämmend (auf Rot und Rosa) (Nude Woman, Combing Her Hair (in Red and Pink))",800000,1200000,768000
E43,Pablo Picasso,Tête de femme,5000000,7000000,5488000
E44,Joan Miró,Peinture,4000000,6000000,3536000
E45,Pablo Picasso,Tête de femme,1200000,1800000,1511000
