lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
629,Scott Kahn,Cul de Sac,80000,120000,409600,100000.0,8.24,4.096,1.41
630,Deborah Roberts,This is who I am,80000,120000,128000,100000.0,1.2,1.28,0.2469
631,Francesco Clemente,In the Center,8000,12000,32000,10000.0,6.0,3.2,1.1632
632,Lubaina Himid,Untitled,15000,20000,70400,17500.0,11.08,4.0229,1.392
633,Ross Bleckner,Former Painting,8000,12000,10880,10000.0,0.72,1.088,0.0843
634,Mark Tansey,Study for Forward Retreat,250000,350000,576000,300000.0,3.26,1.92,0.6523
635,Robert Mapplethorpe,Self Portrait,50000,70000,51200,60000.0,0.06,0.8533,-0.1586
636,Felix Gonzalez-Torres,"""Untitled""",100000,150000,217600,125000.0,2.352,1.7408,0.5543
637,David Salle,Symphony Concertante II,50000,70000,166400,60000.0,5.82,2.7733,1.02
638,Thomas Struth,"Musée d'Orsay I, Paris",70000,100000,35840,85000.0,-1.1387,0.4216,-0.8636
639,Tracey Emin,Good Smile Great Come,20000,30000,32000,25000.0,1.2,1.28,0.2469
641,Walton Ford,The Frontier,15000,20000,64000,17500.0,9.8,3.6571,1.2967
642,Richard Serra,Walkin' the Dog,500000,700000,1152000,600000.0,3.26,1.92,0.6523
643,Jenny Holzer,The Living Series: There's the sensation of a lot of flesh...,50000,70000,83200,60000.0,1.66,1.3867,0.3269
644,Nick Cave,Hustle Coat,40000,60000,153600,50000.0,5.68,3.072,1.1223
645,Richard Artschwager,Possible Scratch,60000,80000,153600,70000.0,4.68,2.1943,0.7859
646,Deborah Butterﬁeld,Untitled,30000,40000,409600,35000.0,37.96,11.7029,2.4598
647,Guillermo Kuitca,Tres noches,50000,70000,332800,60000.0,14.14,5.5467,1.7132
648,Ed Ruscha,Five Views From The Panhandle,20000,30000,19200,25000.0,-0.08,0.768,-0.264
649,Sarah Sze,View Finder (Birds Nest),30000,40000,53760,35000.0,2.376,1.536,0.4292
651,Rudolf Stingel,Untitled (Studio Floor),30000,40000,61440,35000.0,3.144,1.7554,0.5627
652,Sigmar Polke,Untitled,30000,40000,53760,35000.0,2.376,1.536,0.4292
657,Sean Scully,Untitled (Landline),450000,550000,877600,500000.0,4.276,1.7552,0.5626
658,Christopher Wool,Untitled,1000000,1500000,1280000,1250000.0,0.56,1.024,0.0237
659,Mary Heilmann,Neil Young,120000,180000,166400,150000.0,0.7733,1.1093,0.1038
660,Mark Grotjahn,Untitled (Large Colored Butterfly White Background Ten Wings),400000,600000,614400,500000.0,1.072,1.2288,0.206
662,Yoshitomo Nara,Over the Topper,800000,1200000,1216000,1000000.0,1.04,1.216,0.1956
663,Andy Warhol,Ads,2000000,3000000,2926000,2500000.0,0.926,1.1704,0.1573
664,Robert Longo,"Untitled (After De Kooning, Woman 1, 1950-1952)",150000,200000,204800,175000.0,1.096,1.1703,0.1572
665,Richard Prince,Untitled (Four Women with Hats),150000,200000,217600,175000.0,1.352,1.2434,0.2179
666,Ed Ruscha,No Go,70000,100000,166400,85000.0,3.2133,1.9576,0.6717
669,Laura Owens,Untitled,150000,200000,256000,175000.0,2.12,1.4629,0.3804
670,Elizabeth Peyton,Mendips,900000,1200000,998400,1050000.0,0.328,0.9509,-0.0504
671,Lisa Yuskavage,Ludlow Street,700000,1000000,768000,850000.0,0.2267,0.9035,-0.1014
672,Antony Gormley,STEM II,400000,600000,640000,500000.0,1.2,1.28,0.2469
